year,TSS,Turbidity,watershed
2015,15.02,11.50133,Mbogiti(T)
2016,30.63213,14.789,Mbogiti(T)
2017,21,2.35,Mbogiti(T)
2018,17.65617,5.605,Mbogiti(T)
2019,6.568687,4.076816,Mbogiti(T)
2015,6.653333,4.546667,Thika-Valley(C)
2016,8.395294,5.315863,Thika-Valley(C)
2017,10,4.15,Thika-Valley(C)
2018,12.08883,4.7725,Thika-Valley(C)
2019,8.056156,3.078796,Thika-Valley(C)
