"Year","Average","watershed"
2015,0.3695245,"Githambara(T)"
2016,0.2165243,"Githambara(T)"
2017,0.3080951,"Githambara(T)"
2018,0.464378,"Githambara(T)"
2019,0.518096,"Githambara(T)"
2015,0.5180706,"Karurumo(C)"
2016,0.5900561,"Karurumo(C)"
2017,0.4928208,"Karurumo(C)"
2018,0.6359203,"Karurumo(C)"
2019,0.5379984,"Karurumo(C)"
