"Date","waterLevel","watershed","DDate","week","wday","year"
2015-06-21,0.4451875,"Mbogiti(T)",2015-06-21,25,0,2015
2015-06-22,0.443083333333333,"Mbogiti(T)",2015-06-22,26,1,2015
2015-06-23,0.434645833333333,"Mbogiti(T)",2015-06-23,26,2,2015
2015-06-24,0.435895833333333,"Mbogiti(T)",2015-06-24,26,3,2015
2015-06-25,0.4311875,"Mbogiti(T)",2015-06-25,26,4,2015
2015-06-26,0.427625,"Mbogiti(T)",2015-06-26,26,5,2015
2015-06-27,0.419229166666667,"Mbogiti(T)",2015-06-27,26,6,2015
2015-06-28,0.416354166666667,"Mbogiti(T)",2015-06-28,26,0,2015
2015-06-29,0.410875,"Mbogiti(T)",2015-06-29,27,1,2015
2015-06-30,0.405083333333333,"Mbogiti(T)",2015-06-30,27,2,2015
2015-07-01,0.410020833333333,"Mbogiti(T)",2015-07-01,27,3,2015
2015-07-02,0.4120625,"Mbogiti(T)",2015-07-02,27,4,2015
2015-07-03,0.406375,"Mbogiti(T)",2015-07-03,27,5,2015
2015-07-04,0.405666666666667,"Mbogiti(T)",2015-07-04,27,6,2015
2015-07-05,0.404604166666667,"Mbogiti(T)",2015-07-05,27,0,2015
2015-07-06,0.436604166666667,"Mbogiti(T)",2015-07-06,28,1,2015
2015-07-07,0.458729166666667,"Mbogiti(T)",2015-07-07,28,2,2015
2015-07-08,0.449541666666667,"Mbogiti(T)",2015-07-08,28,3,2015
2015-07-09,0.4520625,"Mbogiti(T)",2015-07-09,28,4,2015
2015-07-10,0.366729166666667,"Mbogiti(T)",2015-07-10,28,5,2015
2015-07-11,0.264520833333333,"Mbogiti(T)",2015-07-11,28,6,2015
2015-07-12,0.253791666666667,"Mbogiti(T)",2015-07-12,28,0,2015
2015-07-13,0.2485,"Mbogiti(T)",2015-07-13,29,1,2015
2015-07-14,0.2474375,"Mbogiti(T)",2015-07-14,29,2,2015
2015-07-15,0.240041666666667,"Mbogiti(T)",2015-07-15,29,3,2015
2015-07-16,0.2311875,"Mbogiti(T)",2015-07-16,29,4,2015
2015-07-17,0.210375,"Mbogiti(T)",2015-07-17,29,5,2015
2015-07-18,0.183375,"Mbogiti(T)",2015-07-18,29,6,2015
2015-07-19,0.189041666666667,"Mbogiti(T)",2015-07-19,29,0,2015
2015-07-20,0.180520833333333,"Mbogiti(T)",2015-07-20,30,1,2015
2015-07-21,0.244,"Mbogiti(T)",2015-07-21,30,2,2015
2015-07-22,0.362354166666667,"Mbogiti(T)",2015-07-22,30,3,2015
2015-07-23,0.357125,"Mbogiti(T)",2015-07-23,30,4,2015
2015-07-24,0.361916666666667,"Mbogiti(T)",2015-07-24,30,5,2015
2015-07-25,0.3485625,"Mbogiti(T)",2015-07-25,30,6,2015
2015-07-26,0.343270833333333,"Mbogiti(T)",2015-07-26,30,0,2015
2015-07-27,0.337708333333333,"Mbogiti(T)",2015-07-27,31,1,2015
2015-07-28,0.345895833333333,"Mbogiti(T)",2015-07-28,31,2,2015
2015-07-29,0.351291666666667,"Mbogiti(T)",2015-07-29,31,3,2015
2015-07-30,0.359416666666667,"Mbogiti(T)",2015-07-30,31,4,2015
2015-07-31,0.344645833333333,"Mbogiti(T)",2015-07-31,31,5,2015
2015-08-01,0.346708333333333,"Mbogiti(T)",2015-08-01,31,6,2015
2015-08-02,0.361020833333333,"Mbogiti(T)",2015-08-02,31,0,2015
2015-08-03,0.3604375,"Mbogiti(T)",2015-08-03,32,1,2015
2015-08-04,0.357708333333333,"Mbogiti(T)",2015-08-04,32,2,2015
2015-08-05,0.355104166666667,"Mbogiti(T)",2015-08-05,32,3,2015
2015-08-06,0.3465625,"Mbogiti(T)",2015-08-06,32,4,2015
2015-08-07,0.3845,"Mbogiti(T)",2015-08-07,32,5,2015
2015-08-08,0.38125,"Mbogiti(T)",2015-08-08,32,6,2015
2015-08-09,0.373291666666667,"Mbogiti(T)",2015-08-09,32,0,2015
2015-08-10,0.356833333333333,"Mbogiti(T)",2015-08-10,33,1,2015
2015-08-11,0.33475,"Mbogiti(T)",2015-08-11,33,2,2015
2015-08-12,0.314354166666667,"Mbogiti(T)",2015-08-12,33,3,2015
2015-08-13,0.311833333333333,"Mbogiti(T)",2015-08-13,33,4,2015
2015-08-14,0.307541666666667,"Mbogiti(T)",2015-08-14,33,5,2015
2015-08-15,0.308979166666667,"Mbogiti(T)",2015-08-15,33,6,2015
2015-08-16,0.309020833333333,"Mbogiti(T)",2015-08-16,33,0,2015
2015-08-17,0.300416666666667,"Mbogiti(T)",2015-08-17,34,1,2015
2015-08-18,0.33025,"Mbogiti(T)",2015-08-18,34,2,2015
2015-08-19,0.355416666666667,"Mbogiti(T)",2015-08-19,34,3,2015
2015-08-20,0.320395833333333,"Mbogiti(T)",2015-08-20,34,4,2015
2015-08-21,0.364833333333333,"Mbogiti(T)",2015-08-21,34,5,2015
2015-08-22,0.3230625,"Mbogiti(T)",2015-08-22,34,6,2015
2015-08-23,0.380791666666667,"Mbogiti(T)",2015-08-23,34,0,2015
2015-08-24,0.412291666666667,"Mbogiti(T)",2015-08-24,35,1,2015
2015-08-25,0.387833333333333,"Mbogiti(T)",2015-08-25,35,2,2015
2015-08-26,0.295645833333333,"Mbogiti(T)",2015-08-26,35,3,2015
2015-08-27,0.290375,"Mbogiti(T)",2015-08-27,35,4,2015
2015-08-28,0.3075,"Mbogiti(T)",2015-08-28,35,5,2015
2015-08-29,0.3515625,"Mbogiti(T)",2015-08-29,35,6,2015
2015-08-30,0.361791666666667,"Mbogiti(T)",2015-08-30,35,0,2015
2015-08-31,0.342625,"Mbogiti(T)",2015-08-31,36,1,2015
2015-09-01,0.3071875,"Mbogiti(T)",2015-09-01,36,2,2015
2015-09-02,0.305166666666667,"Mbogiti(T)",2015-09-02,36,3,2015
2015-09-03,0.333895833333333,"Mbogiti(T)",2015-09-03,36,4,2015
2015-09-04,0.349270833333333,"Mbogiti(T)",2015-09-04,36,5,2015
2015-09-05,0.3403125,"Mbogiti(T)",2015-09-05,36,6,2015
2015-09-06,0.323229166666667,"Mbogiti(T)",2015-09-06,36,0,2015
2015-09-07,0.315229166666667,"Mbogiti(T)",2015-09-07,37,1,2015
2015-09-08,0.3111875,"Mbogiti(T)",2015-09-08,37,2,2015
2015-09-09,0.310354166666667,"Mbogiti(T)",2015-09-09,37,3,2015
2015-09-10,0.307291666666667,"Mbogiti(T)",2015-09-10,37,4,2015
2015-09-11,0.2965,"Mbogiti(T)",2015-09-11,37,5,2015
2015-09-12,0.294333333333333,"Mbogiti(T)",2015-09-12,37,6,2015
2015-09-13,0.303125,"Mbogiti(T)",2015-09-13,37,0,2015
2015-09-14,0.2940625,"Mbogiti(T)",2015-09-14,38,1,2015
2015-09-15,0.317854166666667,"Mbogiti(T)",2015-09-15,38,2,2015
2015-09-16,0.300020833333333,"Mbogiti(T)",2015-09-16,38,3,2015
2015-09-17,0.3251875,"Mbogiti(T)",2015-09-17,38,4,2015
2015-09-18,0.38375,"Mbogiti(T)",2015-09-18,38,5,2015
2015-09-19,0.368020833333333,"Mbogiti(T)",2015-09-19,38,6,2015
2015-09-20,0.369416666666667,"Mbogiti(T)",2015-09-20,38,0,2015
2015-09-21,0.348166666666667,"Mbogiti(T)",2015-09-21,39,1,2015
2015-09-22,0.293729166666667,"Mbogiti(T)",2015-09-22,39,2,2015
2015-09-23,0.298708333333333,"Mbogiti(T)",2015-09-23,39,3,2015
2015-09-24,0.288770833333333,"Mbogiti(T)",2015-09-24,39,4,2015
2015-09-25,0.253229166666667,"Mbogiti(T)",2015-09-25,39,5,2015
2015-09-26,0.188875,"Mbogiti(T)",2015-09-26,39,6,2015
2015-09-27,0.275104166666667,"Mbogiti(T)",2015-09-27,39,0,2015
2015-09-28,0.264875,"Mbogiti(T)",2015-09-28,40,1,2015
2015-09-29,0.254291666666667,"Mbogiti(T)",2015-09-29,40,2,2015
2015-09-30,0.265791666666667,"Mbogiti(T)",2015-09-30,40,3,2015
2015-10-01,0.2470625,"Mbogiti(T)",2015-10-01,40,4,2015
2015-10-02,0.251020833333333,"Mbogiti(T)",2015-10-02,40,5,2015
2015-10-03,0.271854166666667,"Mbogiti(T)",2015-10-03,40,6,2015
2015-10-04,0.301208333333333,"Mbogiti(T)",2015-10-04,40,0,2015
2015-10-05,0.2780625,"Mbogiti(T)",2015-10-05,41,1,2015
2015-10-06,0.283333333333333,"Mbogiti(T)",2015-10-06,41,2,2015
2015-10-07,0.278229166666667,"Mbogiti(T)",2015-10-07,41,3,2015
2015-10-08,0.26475,"Mbogiti(T)",2015-10-08,41,4,2015
2015-10-09,0.2673125,"Mbogiti(T)",2015-10-09,41,5,2015
2015-10-10,0.233729166666667,"Mbogiti(T)",2015-10-10,41,6,2015
2015-10-11,0.239854166666667,"Mbogiti(T)",2015-10-11,41,0,2015
2015-10-12,0.2489375,"Mbogiti(T)",2015-10-12,42,1,2015
2015-10-13,0.2444375,"Mbogiti(T)",2015-10-13,42,2,2015
2015-10-14,0.231833333333333,"Mbogiti(T)",2015-10-14,42,3,2015
2015-10-15,0.226833333333333,"Mbogiti(T)",2015-10-15,42,4,2015
2015-10-16,0.228333333333333,"Mbogiti(T)",2015-10-16,42,5,2015
2015-10-17,0.251145833333333,"Mbogiti(T)",2015-10-17,42,6,2015
2015-10-18,0.256020833333333,"Mbogiti(T)",2015-10-18,42,0,2015
2015-10-19,0.253708333333333,"Mbogiti(T)",2015-10-19,43,1,2015
2015-10-20,0.239166666666667,"Mbogiti(T)",2015-10-20,43,2,2015
2015-10-21,0.221958333333333,"Mbogiti(T)",2015-10-21,43,3,2015
2015-10-22,0.226291666666667,"Mbogiti(T)",2015-10-22,43,4,2015
2015-10-23,0.259520833333333,"Mbogiti(T)",2015-10-23,43,5,2015
2015-10-24,0.248666666666667,"Mbogiti(T)",2015-10-24,43,6,2015
2015-10-25,0.244708333333333,"Mbogiti(T)",2015-10-25,43,0,2015
2015-10-26,0.241854166666667,"Mbogiti(T)",2015-10-26,44,1,2015
2015-10-27,0.2361875,"Mbogiti(T)",2015-10-27,44,2,2015
2015-10-28,0.252604166666667,"Mbogiti(T)",2015-10-28,44,3,2015
2015-10-29,0.29625,"Mbogiti(T)",2015-10-29,44,4,2015
2015-10-30,0.295854166666667,"Mbogiti(T)",2015-10-30,44,5,2015
2015-10-31,0.292291666666667,"Mbogiti(T)",2015-10-31,44,6,2015
2015-11-01,0.286791666666667,"Mbogiti(T)",2015-11-01,44,0,2015
2015-11-02,0.285291666666667,"Mbogiti(T)",2015-11-02,45,1,2015
2015-11-03,0.295979166666667,"Mbogiti(T)",2015-11-03,45,2,2015
2015-11-04,0.302729166666667,"Mbogiti(T)",2015-11-04,45,3,2015
2015-11-05,0.37175,"Mbogiti(T)",2015-11-05,45,4,2015
2015-11-06,0.338125,"Mbogiti(T)",2015-11-06,45,5,2015
2015-11-07,0.312895833333333,"Mbogiti(T)",2015-11-07,45,6,2015
2015-11-08,0.313833333333333,"Mbogiti(T)",2015-11-08,45,0,2015
2015-11-09,0.3453125,"Mbogiti(T)",2015-11-09,46,1,2015
2015-11-10,0.409583333333333,"Mbogiti(T)",2015-11-10,46,2,2015
2015-11-11,0.381583333333333,"Mbogiti(T)",2015-11-11,46,3,2015
2015-11-12,0.3046875,"Mbogiti(T)",2015-11-12,46,4,2015
2015-11-13,0.225083333333333,"Mbogiti(T)",2015-11-13,46,5,2015
2015-11-14,0.23075,"Mbogiti(T)",2015-11-14,46,6,2015
2015-11-15,0.209333333333333,"Mbogiti(T)",2015-11-15,46,0,2015
2015-11-16,0.222291666666667,"Mbogiti(T)",2015-11-16,47,1,2015
2015-11-17,0.254083333333333,"Mbogiti(T)",2015-11-17,47,2,2015
2015-11-18,0.264416666666667,"Mbogiti(T)",2015-11-18,47,3,2015
2015-11-19,0.264,"Mbogiti(T)",2015-11-19,47,4,2015
2015-11-20,0.262520833333333,"Mbogiti(T)",2015-11-20,47,5,2015
2015-11-21,0.28725,"Mbogiti(T)",2015-11-21,47,6,2015
2015-11-22,0.281666666666667,"Mbogiti(T)",2015-11-22,47,0,2015
2015-11-23,0.291416666666667,"Mbogiti(T)",2015-11-23,48,1,2015
2015-11-24,0.28425,"Mbogiti(T)",2015-11-24,48,2,2015
2015-11-25,0.272416666666667,"Mbogiti(T)",2015-11-25,48,3,2015
2015-11-26,0.3083125,"Mbogiti(T)",2015-11-26,48,4,2015
2015-11-27,0.292375,"Mbogiti(T)",2015-11-27,48,5,2015
2015-11-28,0.296354166666667,"Mbogiti(T)",2015-11-28,48,6,2015
2015-11-29,0.3025625,"Mbogiti(T)",2015-11-29,48,0,2015
2015-11-30,0.3551875,"Mbogiti(T)",2015-11-30,49,1,2015
2015-12-01,0.3175,"Mbogiti(T)",2015-12-01,49,2,2015
2015-12-02,0.318020833333333,"Mbogiti(T)",2015-12-02,49,3,2015
2015-12-03,0.377791666666667,"Mbogiti(T)",2015-12-03,49,4,2015
2015-12-04,0.436,"Mbogiti(T)",2015-12-04,49,5,2015
2015-12-05,0.430270833333333,"Mbogiti(T)",2015-12-05,49,6,2015
2015-12-06,0.431,"Mbogiti(T)",2015-12-06,49,0,2015
2015-12-07,0.42775,"Mbogiti(T)",2015-12-07,50,1,2015
2015-12-08,0.419854166666667,"Mbogiti(T)",2015-12-08,50,2,2015
2015-12-09,0.410520833333333,"Mbogiti(T)",2015-12-09,50,3,2015
2015-12-10,0.40325,"Mbogiti(T)",2015-12-10,50,4,2015
2015-12-11,0.390416666666667,"Mbogiti(T)",2015-12-11,50,5,2015
2015-12-12,0.373166666666667,"Mbogiti(T)",2015-12-12,50,6,2015
2015-12-13,0.363291666666667,"Mbogiti(T)",2015-12-13,50,0,2015
2015-12-14,0.365541666666667,"Mbogiti(T)",2015-12-14,51,1,2015
2015-12-15,0.375208333333333,"Mbogiti(T)",2015-12-15,51,2,2015
2015-12-16,0.379833333333333,"Mbogiti(T)",2015-12-16,51,3,2015
2015-12-17,0.3691875,"Mbogiti(T)",2015-12-17,51,4,2015
2015-12-18,0.362833333333333,"Mbogiti(T)",2015-12-18,51,5,2015
2015-12-19,0.360979166666667,"Mbogiti(T)",2015-12-19,51,6,2015
2015-12-20,0.355916666666667,"Mbogiti(T)",2015-12-20,51,0,2015
2015-12-21,0.3484375,"Mbogiti(T)",2015-12-21,52,1,2015
2015-12-22,0.345916666666667,"Mbogiti(T)",2015-12-22,52,2,2015
2015-12-23,0.344875,"Mbogiti(T)",2015-12-23,52,3,2015
2015-12-24,0.340520833333333,"Mbogiti(T)",2015-12-24,52,4,2015
2015-12-25,0.341583333333333,"Mbogiti(T)",2015-12-25,52,5,2015
2015-12-26,0.3256875,"Mbogiti(T)",2015-12-26,52,6,2015
2015-12-27,0.331333333333333,"Mbogiti(T)",2015-12-27,52,0,2015
2015-12-28,0.329,"Mbogiti(T)",2015-12-28,53,1,2015
2015-12-29,0.326208333333333,"Mbogiti(T)",2015-12-29,53,2,2015
2015-12-30,0.316625,"Mbogiti(T)",2015-12-30,53,3,2015
2015-12-31,0.362541666666667,"Mbogiti(T)",2015-12-31,53,4,2015
2016-01-01,0.418229166666667,"Mbogiti(T)",2016-01-01,53,5,2016
2016-01-02,0.4201875,"Mbogiti(T)",2016-01-02,53,6,2016
2016-01-03,0.405854166666667,"Mbogiti(T)",2016-01-03,53,0,2016
2016-01-04,0.421458333333333,"Mbogiti(T)",2016-01-04,1,1,2016
2016-01-05,0.401770833333333,"Mbogiti(T)",2016-01-05,1,2,2016
2016-01-06,0.366895833333333,"Mbogiti(T)",2016-01-06,1,3,2016
2016-01-07,0.368208333333333,"Mbogiti(T)",2016-01-07,1,4,2016
2016-01-08,0.3734375,"Mbogiti(T)",2016-01-08,1,5,2016
2016-01-09,0.354604166666667,"Mbogiti(T)",2016-01-09,1,6,2016
2016-01-10,0.354729166666667,"Mbogiti(T)",2016-01-10,1,0,2016
2016-01-11,0.361104166666667,"Mbogiti(T)",2016-01-11,2,1,2016
2016-01-12,0.354979166666667,"Mbogiti(T)",2016-01-12,2,2,2016
2016-01-13,0.346916666666667,"Mbogiti(T)",2016-01-13,2,3,2016
2016-01-14,0.3615625,"Mbogiti(T)",2016-01-14,2,4,2016
2016-01-15,0.383958333333333,"Mbogiti(T)",2016-01-15,2,5,2016
2016-01-16,0.390333333333333,"Mbogiti(T)",2016-01-16,2,6,2016
2016-01-17,0.390625,"Mbogiti(T)",2016-01-17,2,0,2016
2016-01-18,0.383145833333333,"Mbogiti(T)",2016-01-18,3,1,2016
2016-01-19,0.365479166666667,"Mbogiti(T)",2016-01-19,3,2,2016
2016-01-20,0.349145833333333,"Mbogiti(T)",2016-01-20,3,3,2016
2016-01-21,0.342229166666667,"Mbogiti(T)",2016-01-21,3,4,2016
2016-01-22,0.331895833333333,"Mbogiti(T)",2016-01-22,3,5,2016
2016-01-23,0.3281875,"Mbogiti(T)",2016-01-23,3,6,2016
2016-01-24,0.337979166666667,"Mbogiti(T)",2016-01-24,3,0,2016
2016-01-25,0.334125,"Mbogiti(T)",2016-01-25,4,1,2016
2016-01-26,0.327229166666667,"Mbogiti(T)",2016-01-26,4,2,2016
2016-01-27,0.3255,"Mbogiti(T)",2016-01-27,4,3,2016
2016-01-28,0.3285625,"Mbogiti(T)",2016-01-28,4,4,2016
2016-01-29,0.318583333333333,"Mbogiti(T)",2016-01-29,4,5,2016
2016-01-30,0.3154375,"Mbogiti(T)",2016-01-30,4,6,2016
2016-01-31,0.313291666666667,"Mbogiti(T)",2016-01-31,4,0,2016
2016-02-01,0.305,"Mbogiti(T)",2016-02-01,5,1,2016
2016-02-02,0.3118125,"Mbogiti(T)",2016-02-02,5,2,2016
2016-02-03,0.317979166666667,"Mbogiti(T)",2016-02-03,5,3,2016
2016-02-04,0.302270833333333,"Mbogiti(T)",2016-02-04,5,4,2016
2016-02-05,0.296583333333333,"Mbogiti(T)",2016-02-05,5,5,2016
2016-02-06,0.287791666666667,"Mbogiti(T)",2016-02-06,5,6,2016
2016-02-07,0.290520833333333,"Mbogiti(T)",2016-02-07,5,0,2016
2016-02-08,0.326229166666667,"Mbogiti(T)",2016-02-08,6,1,2016
2016-02-09,0.362229166666667,"Mbogiti(T)",2016-02-09,6,2,2016
2016-02-10,0.35025,"Mbogiti(T)",2016-02-10,6,3,2016
2016-02-11,0.353666666666667,"Mbogiti(T)",2016-02-11,6,4,2016
2016-02-12,0.351479166666667,"Mbogiti(T)",2016-02-12,6,5,2016
2016-02-13,0.344895833333333,"Mbogiti(T)",2016-02-13,6,6,2016
2016-02-14,0.349604166666667,"Mbogiti(T)",2016-02-14,6,0,2016
2016-02-15,0.352458333333333,"Mbogiti(T)",2016-02-15,7,1,2016
2016-02-16,0.355833333333333,"Mbogiti(T)",2016-02-16,7,2,2016
2016-02-17,0.345791666666667,"Mbogiti(T)",2016-02-17,7,3,2016
2016-02-18,0.334479166666667,"Mbogiti(T)",2016-02-18,7,4,2016
2016-02-19,0.340125,"Mbogiti(T)",2016-02-19,7,5,2016
2016-02-20,0.337083333333333,"Mbogiti(T)",2016-02-20,7,6,2016
2016-02-21,0.329458333333333,"Mbogiti(T)",2016-02-21,7,0,2016
2016-02-22,0.326229166666667,"Mbogiti(T)",2016-02-22,8,1,2016
2016-02-23,0.334375,"Mbogiti(T)",2016-02-23,8,2,2016
2016-02-24,0.333270833333333,"Mbogiti(T)",2016-02-24,8,3,2016
2016-02-25,0.330958333333333,"Mbogiti(T)",2016-02-25,8,4,2016
2016-02-26,0.342333333333333,"Mbogiti(T)",2016-02-26,8,5,2016
2016-02-27,0.345729166666667,"Mbogiti(T)",2016-02-27,8,6,2016
2016-02-28,0.353666666666667,"Mbogiti(T)",2016-02-28,8,0,2016
2016-02-29,0.361666666666667,"Mbogiti(T)",2016-02-29,9,1,2016
2016-03-01,0.356208333333333,"Mbogiti(T)",2016-03-01,9,2,2016
2016-03-02,0.355145833333333,"Mbogiti(T)",2016-03-02,9,3,2016
2016-03-03,0.355333333333333,"Mbogiti(T)",2016-03-03,9,4,2016
2016-03-04,0.350104166666667,"Mbogiti(T)",2016-03-04,9,5,2016
2016-03-05,0.335,"Mbogiti(T)",2016-03-05,9,6,2016
2016-03-06,0.32225,"Mbogiti(T)",2016-03-06,9,0,2016
2016-03-07,0.314458333333333,"Mbogiti(T)",2016-03-07,10,1,2016
2016-03-08,0.309020833333333,"Mbogiti(T)",2016-03-08,10,2,2016
2016-03-09,0.3155,"Mbogiti(T)",2016-03-09,10,3,2016
2016-03-10,0.332416666666667,"Mbogiti(T)",2016-03-10,10,4,2016
2016-03-11,0.32925,"Mbogiti(T)",2016-03-11,10,5,2016
2016-03-12,0.336854166666667,"Mbogiti(T)",2016-03-12,10,6,2016
2016-03-13,0.3293125,"Mbogiti(T)",2016-03-13,10,0,2016
2016-03-14,0.333666666666667,"Mbogiti(T)",2016-03-14,11,1,2016
2016-03-15,0.339416666666667,"Mbogiti(T)",2016-03-15,11,2,2016
2016-03-16,0.344520833333333,"Mbogiti(T)",2016-03-16,11,3,2016
2016-03-17,0.3318125,"Mbogiti(T)",2016-03-17,11,4,2016
2016-03-18,0.341770833333333,"Mbogiti(T)",2016-03-18,11,5,2016
2016-03-19,0.3480625,"Mbogiti(T)",2016-03-19,11,6,2016
2016-03-20,0.341708333333333,"Mbogiti(T)",2016-03-20,11,0,2016
