"Year","Average","watershed"
2015,0.3225583,"Mbogiti(T)"
2016,0.3911728,"Mbogiti(T)"
2017,0.3688235,"Mbogiti(T)"
2018,0.3973415,"Mbogiti(T)"
2019,0.3515231,"Mbogiti(T)"
2015,0.09910533,"Thika-Valley(C)"
2016,0.09333157,"Thika-Valley(C)"
2017,0.2423081,"Thika-Valley(C)"
2018,0.1386979,"Thika-Valley(C)"
2019,0.08807056,"Thika-Valley(C)"
